Tangal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
15,BORN,50 ,0 ,0 ,0 ,0 ,0 ,13817 
15,BOSS,2170 ,5859300 ,10600 ,111900 ,20000 ,20000 ,13817 
15,BPFI,990 ,2100 ,1400 ,1000 ,0 ,0 ,13817 
15,BPII,5950 ,0 ,100 ,1600 ,0 ,0 ,13817 
15,BRAM,7625 ,0 ,5000 ,0 ,0 ,0 ,13817 
15,BRMS,85 ,105499200 ,7800600 ,5690000 ,496600 ,13638200 ,13817 
15,BRNA,1225 ,300 ,800 ,9800 ,0 ,0 ,13817 
15,BRPT,2500 ,25781300 ,1223600 ,501400 ,9629600 ,3421100 ,13817 
15,BSDE,1745 ,26073700 ,254200 ,2391500 ,14784500 ,13817400 ,13817 
15,BSIM,690 ,0 ,11100 ,3000 ,0 ,0 ,13817 
15,BSSR,2400 ,22800 ,11400 ,3000 ,0 ,0 ,13817 
15,BSWD,1750 ,0 ,0 ,0 ,0 ,0 ,13817 
15,BTEK,124 ,99800 ,227200 ,9600 ,0 ,0 ,13817 
15,BTEL,50 ,0 ,401234900 ,0 ,0 ,0 ,13817 
15,BTON,148 ,7700 ,11600 ,100 ,0 ,0 ,13817 
15,BTPN,3420 ,515000 ,116600 ,15100 ,336300 ,82600 ,13817 
15,BUDI,106 ,1173600 ,12100 ,376200 ,0 ,0 ,13817 
15,BUKK,1810 ,0 ,5000 ,200 ,0 ,0 ,13817 
15,BULL,174 ,20061000 ,47500 ,186600 ,185500 ,33800 ,13817 
15,BUMI,276 ,426332200 ,3694000 ,28152900 ,75301700 ,71881900 ,13817 
15,BUVA,520 ,200 ,5400 ,2000 ,0 ,0 ,13817 
15,BVIC,238 ,1002700 ,10000 ,5300 ,0 ,170000 ,13817 
15,BWPT,228 ,147050200 ,6772300 ,2730300 ,616400 ,2324900 ,13817 
15,BYAN,10650 ,1800 ,3500 ,300 ,0 ,0 ,13817 
15,CAMP,550 ,4783300 ,7400 ,24700 ,20000 ,480400 ,13817 
15,CANI,336 ,5500 ,1900 ,100 ,0 ,0 ,13817 
15,CARS,1630 ,205000 ,29600 ,500 ,100 ,0 ,13817 
15,CASA,300 ,521000 ,25900 ,158900 ,114000 ,10000 ,13817 
15,CASS,700 ,50000 ,450000 ,3300 ,0 ,50000 ,13817 
15,CEKA,1400 ,0 ,700 ,2900 ,0 ,0 ,13817 
15,CENT,90 ,594100 ,2800 ,65600 ,0 ,0 ,13817 
15,CFIN,332 ,935800 ,100000 ,200 ,0 ,200000 ,13817 
15,CINT,330 ,5774000 ,21000 ,5800 ,900 ,3500 ,13817 
15,CITA,570 ,700 ,5000 ,500 ,0 ,0 ,13817 
15,CKRA,75 ,135600 ,8300 ,20600 ,0 ,0 ,13817 
15,CLEO,930 ,2260700 ,10800 ,10500 ,0 ,0 ,13817 
15,CLPI,890 ,17100 ,27900 ,800 ,0 ,0 ,13817 
15,CMNP,1500 ,9000 ,117100 ,7000 ,800 ,6500 ,13817 
15,CMPP,320 ,253000 ,84500 ,1100 ,0 ,28300 ,13817 
15,CNKO,50 ,21200 ,27250200 ,0 ,0 ,0 ,13817 
15,CNTB,250 ,0 ,0 ,0 ,0 ,0 ,13817 
15,CNTX,486 ,2400 ,29300 ,500 ,0 ,1000 ,13817 
15,COWL,805 ,2224500 ,25100 ,10000 ,0 ,0 ,13817 
15,CPIN,3400 ,5484600 ,9800 ,290600 ,4177400 ,2802800 ,13817 
15,CPRO,50 ,0 ,105776900 ,0 ,0 ,0 ,13817 
15,CSAP,490 ,100 ,2100 ,1010000 ,0 ,0 ,13817 
15,CSIS,990 ,7181300 ,2200 ,1000 ,0 ,0 ,13817 
15,CTBN,4400 ,0 ,100000 ,200 ,0 ,0 ,13817 
15,CTRA,1215 ,5226700 ,155300 ,8000 ,994500 ,2704200 ,13817 
15,CTTH,118 ,14200 ,20000 ,17200 ,0 ,0 ,13817 
15,DAJK,50 ,0 ,0 ,0 ,0 ,0 ,13817 
15,DART,308 ,17500 ,10000 ,32200 ,0 ,0 ,13817 
15,DAYA,186 ,0 ,50100 ,1200000 ,0 ,0 ,13817 
15,DEFI,1300 ,28800 ,6100 ,500 ,0 ,5000 ,13817 
15,DEWA,50 ,115059200 ,43263000 ,316300 ,0 ,1759600 ,13817 
15,DGIK,68 ,78222100 ,6187700 ,10616000 ,62800 ,22200 ,13817 
15,DILD,332 ,3753100 ,169400 ,233400 ,1638700 ,127800 ,13817 
15,DKFT,384 ,150000 ,24300 ,5500 ,0 ,0 ,13817 
15,DLTA,5150 ,38800 ,11000 ,600 ,0 ,35000 ,13817 
15,DMAS,176 ,13336300 ,116100 ,2986600 ,298900 ,9936300 ,13817 
15,DNAR,292 ,100 ,6900 ,5000 ,0 ,0 ,13817 
15,DNET,2500 ,0 ,8100 ,10000 ,0 ,0 ,13817 
15,DOID,910 ,22395600 ,58000 ,37100 ,3207100 ,2674900 ,13817 
15,DPNS,346 ,0 ,100 ,500 ,0 ,0 ,13817 
15,DPUM,302 ,88500 ,33000 ,5000 ,12000 ,0 ,13817 
15,DSFI,104 ,1244000 ,12300 ,219700 ,0 ,10000 ,13817 
15,DSNG,448 ,875900 ,4400 ,112300 ,9900 ,0 ,13817 
15,DSSA,13000 ,0 ,200 ,200 ,0 ,0 ,13817 
15,DUTI,5400 ,0 ,10000 ,2500 ,0 ,0 ,13817 
15,DVLA,2070 ,7400 ,3100 ,2200 ,0 ,0 ,13817 
15,DWGL,228 ,687900 ,125000 ,82900 ,20100 ,0 ,13817 
15,DYAN,82 ,6259900 ,235700 ,974600 ,0 ,0 ,13817 
15,ECII,850 ,30800 ,6700 ,100 ,0 ,0 ,13817 
15,EKAD,695 ,136700 ,600 ,888800 ,0 ,83300 ,13817 
15,ELSA,476 ,23375600 ,204400 ,871300 ,926000 ,3031800 ,13817 
15,ELTY,50 ,12200 ,496032700 ,0 ,0 ,0 ,13817 
15,EMDE,258 ,539100 ,50000 ,12900 ,0 ,0 ,13817 
15,EMTK,9100 ,7000 ,23000 ,2000 ,0 ,0 ,13817 
15,ENRG,238 ,101310800 ,908600 ,22590700 ,1287800 ,21133100 ,13817 
15,EPMT,2490 ,12600 ,37000 ,100 ,0 ,0 ,13817 
15,ERAA,1290 ,32392300 ,472200 ,125500 ,13323900 ,648800 ,13817 
15,ERTX,139 ,3424000 ,2000 ,113900 ,0 ,0 ,13817 
15,ESSA,322 ,16649000 ,14000 ,282500 ,53600 ,446200 ,13817 
15,ESTI,74 ,269600 ,19000 ,29000 ,0 ,0 ,13817 
15,ETWA,63 ,0 ,0 ,0 ,0 ,0 ,13817 
15,EXCL,2550 ,7690700 ,153800 ,205200 ,3038000 ,6275500 ,13817 
15,FAST,1430 ,29600 ,200 ,39800 ,100 ,28900 ,13817 
15,FASW,5875 ,331700 ,22300 ,4600 ,0 ,0 ,13817 
15,FINN,152 ,98658900 ,240100 ,1708800 ,0 ,350000 ,13817 
15,FIRE,1425 ,0 ,200 ,300 ,0 ,0 ,13817 
15,FISH,2420 ,0 ,200 ,1000 ,0 ,0 ,13817 
15,FMII,625 ,1390600 ,13800 ,13900 ,0 ,0 ,13817 
15,FORU,165 ,100 ,400 ,3000 ,0 ,0 ,13817 
15,FORZ,840 ,39456200 ,265800 ,3500 ,0 ,0 ,13817 
15,FPNI,220 ,7067700 ,175000 ,93900 ,0 ,26900 ,13817 
15,FREN,50 ,9100 ,4446500 ,0 ,0 ,0 ,13817 
15,GAMA,50 ,13204000 ,371300 ,3493200 ,0 ,0 ,13817 
15,GDST,87 ,699000 ,348500 ,10600 ,0 ,0 ,13817 
15,GDYR,2200 ,900 ,2700 ,100 ,0 ,0 ,13817 
15,GEMA,1340 ,40700 ,100 ,10000 ,0 ,0 ,13817 
15,GEMS,2550 ,0 ,0 ,0 ,0 ,0 ,13817 
15,GGRM,74600 ,1480500 ,174400 ,1800 ,542900 ,693900 ,13817 
15,GIAA,300 ,4135700 ,584100 ,37400 ,340100 ,84000 ,13817 
15,GJTL,835 ,37362600 ,35900 ,1569900 ,449500 ,6206900 ,13817 
15,GLOB,456 ,0 ,0 ,0 ,0 ,0 ,13817 
15,GMCW,860 ,0 ,0 ,0 ,0 ,0 ,13817 
15,GMFI,380 ,5275600 ,44200 ,464900 ,80700 ,3309200 ,13817 
15,GMTD,12000 ,0 ,500 ,500 ,0 ,0 ,13817 
15,GOLD,470 ,29200 ,500 ,6000 ,0 ,0 ,13817 
15,GOLL,101 ,2016400 ,49900 ,3305300 ,0 ,0 ,13817 
15,GPRA,109 ,7907700 ,136900 ,133100 ,0 ,0 ,13817 
15,GREN,328 ,0 ,0 ,0 ,0 ,0 ,13817 
15,GSMF,124 ,272400 ,7900 ,379500 ,0 ,0 ,13817 
15,GTBO,268 ,19300 ,33100 ,6800 ,0 ,0 ,13817 
15,GWSA,163 ,97500 ,19100 ,10000 ,0 ,83600 ,13817 
15,GZCO,69 ,79190900 ,766300 ,5295700 ,3500000 ,2751500 ,13817 
15,HADE,50 ,4200 ,2408500 ,0 ,0 ,0 ,13817 
15,HDFA,199 ,2700 ,5000 ,5000 ,0 ,0 ,13817 
15,HDTX,330 ,0 ,900 ,10000 ,0 ,0 ,13817 
15,HERO,920 ,10500 ,8000 ,200 ,0 ,0 ,13817 
15,HEXA,3020 ,38000 ,9000 ,1700 ,0 ,1500 ,13817 
15,HITS,710 ,3500 ,1400 ,1500 ,0 ,0 ,13817 
15,HMSP,4260 ,28003800 ,2082400 ,7300 ,22768000 ,6442100 ,13817 
15,HOKI,530 ,14007600 ,50400 ,636700 ,0 ,527000 ,13817 
15,HOME,117 ,10405600 ,42900 ,70300 ,0 ,200 ,13817 
15,HOTL,98 ,10302900 ,31500 ,30000 ,21400 ,0 ,13817 
15,HRTA,280 ,236700 ,14300 ,133500 ,10600 ,0 ,13817 
15,HRUM,2600 ,9469300 ,411700 ,10900 ,360700 ,5557100 ,13817 
15,IATA,50 ,100 ,22363200 ,0 ,0 ,0 ,13817 
15,IBFN,74 ,1756500 ,19700 ,276800 ,0 ,20000 ,13817 
15,IBST,8875 ,500 ,100 ,500 ,0 ,0 ,13817 
15,ICBP,8625 ,8421300 ,17800 ,425300 ,1116600 ,771900 ,13817 
15,ICON,110 ,3022600 ,51600 ,2000 ,0 ,0 ,13817 
15,IDPR,850 ,5900 ,3100 ,1000 ,0 ,0 ,13817 
15,IGAR,404 ,102200 ,200 ,9900 ,0 ,0 ,13817 
15,IIKP,186 ,512272800 ,170800 ,28400 ,403300 ,3995800 ,13817 
15,IKAI,474 ,292480100 ,149700 ,7194800 ,5969200 ,2309700 ,13817 
15,IKBI,306 ,900 ,9500 ,200 ,0 ,0 ,13817 
15,IMAS,1440 ,18170000 ,55900 ,124800 ,1466900 ,222000 ,13817 
15,IMJS,404 ,431600 ,50000 ,34700 ,0 ,0 ,13817 
15,IMPC,1000 ,220700 ,123500 ,5500 ,0 ,0 ,13817 
15,INAF,4470 ,15400 ,14800 ,900 ,0 ,12600 ,13817 
15,INAI,430 ,500 ,22200 ,5500 ,0 ,0 ,13817 
15,INCF,190 ,104600 ,29700 ,500 ,0 ,0 ,13817 
15,INCI,535 ,61000 ,10000 ,1100 ,0 ,0 ,13817 
15,INCO,3130 ,8026300 ,169100 ,10100 ,2172100 ,634000 ,13817 
15,INDF,7175 ,7585400 ,36600 ,226100 ,5899600 ,2246700 ,13817 
15,INDR,1200 ,24800 ,300 ,29300 ,0 ,0 ,13817 
15,INDS,1615 ,103400 ,2100 ,20200 ,0 ,0 ,13817 
15,INDX,102 ,34100 ,70200 ,78600 ,0 ,0 ,13817 
15,INDY,3380 ,21605700 ,9100 ,78400 ,949800 ,2921200 ,13817 
15,INKP,11200 ,16613300 ,2100 ,11200 ,8003100 ,6756900 ,13817 
15,INPC,87 ,2180700 ,191400 ,4070100 ,0 ,100 ,13817 
15,INPP,625 ,101100 ,147100 ,48900 ,0 ,0 ,13817 
15,INRU,1000 ,9200 ,600 ,15000 ,0 ,0 ,13817 
15,INTA,426 ,1865000 ,43400 ,222000 ,73800 ,0 ,13817 
15,INTD,755 ,500 ,3100 ,100 ,0 ,0 ,13817 
15,INTP,20000 ,1017900 ,20500 ,247200 ,760800 ,413700 ,13817 
15,IPCM,402 ,57300 ,300 ,20000 ,30100 ,0 ,13817 
15,IPOL,129 ,148700 ,100000 ,6900 ,0 ,0 ,13817 
15,ISAT,5300 ,462800 ,23300 ,21700 ,63900 ,15800 ,13817 
15,ISSP,132 ,1853700 ,502500 ,92200 ,0 ,0 ,13817 
15,ITMA,715 ,31800 ,14800 ,200 ,0 ,0 ,13817 
15,ITMG,26000 ,1573000 ,200 ,25400 ,687000 ,806800 ,13817 
15,ITTG,82 ,0 ,0 ,0 ,0 ,0 ,13817 
15,JAWA,194 ,152700 ,33300 ,33200 ,0 ,0 ,13817 
15,JECC,5100 ,0 ,300 ,2000 ,0 ,0 ,13817 
15,JGLE,50 ,9819000 ,55251500 ,0 ,9768900 ,0 ,13817 
15,JIHD,486 ,0 ,10000 ,50100 ,0 ,0 ,13817 
15,JKON,510 ,130800 ,49800 ,150000 ,0 ,0 ,13817 
15,JKSW,97 ,0 ,0 ,0 ,0 ,0 ,13817 
15,JMAS,740 ,2908500 ,0 ,2995600 ,29000 ,30000 ,13817 
15,JPFA,1450 ,6642600 ,1000 ,400400 ,5962100 ,3806600 ,13817 
15,JPRS,133 ,0 ,20000 ,15100 ,0 ,0 ,13817 
15,JRPT,845 ,3240300 ,921800 ,63300 ,203700 ,0 ,13817 
15,JSMR,4920 ,6821100 ,2600 ,338700 ,314500 ,1338800 ,13817 
15,JSPT,1490 ,0 ,400 ,500 ,0 ,0 ,13817 
15,JTPE,298 ,133600 ,3169700 ,13500 ,0 ,0 ,13817 
15,KAEF,2260 ,584700 ,366700 ,5600 ,138100 ,10000 ,13817 
15,KARW,137 ,97800 ,198500 ,51800 ,0 ,0 ,13817 
15,KBLI,476 ,4675600 ,258000 ,284700 ,1772400 ,500 ,13817 
15,KBLM,300 ,96200 ,500 ,600 ,0 ,0 ,13817 
15,KBLV,470 ,11700 ,2500 ,3000 ,0 ,0 ,13817 
15,KBRI,50 ,53700 ,30119000 ,0 ,0 ,0 ,13817 
15,KDSI,650 ,138300 ,38900 ,1000 ,0 ,0 ,13817 
15,KIAS,100 ,0 ,0 ,0 ,0 ,0 ,13817 
15,KICI,183 ,6200 ,200 ,1600 ,0 ,0 ,13817 
15,KIJA,274 ,5361500 ,427000 ,1101000 ,217800 ,1901700 ,13817 
15,KINO,1995 ,35400 ,3900 ,2000 ,0 ,0 ,13817 
15,KIOS,2970 ,487800 ,2500 ,17100 ,0 ,0 ,13817 
15,KKGI,366 ,230800 ,103700 ,10000 ,0 ,0 ,13817 
15,KLBF,1485 ,9077600 ,1503400 ,279600 ,3647900 ,4165100 ,13817 
15,KMTR,805 ,15138300 ,0 ,5222900 ,0 ,0 ,13817 
15,KOBX,124 ,206600 ,23200 ,51700 ,0 ,0 ,13817 
15,KOIN,298 ,10000 ,91000 ,200 ,0 ,0 ,13817 
15,KONI,350 ,0 ,5300 ,0 ,0 ,0 ,13817 
15,KOPI,725 ,47200 ,11400 ,8200 ,0 ,0 ,13817 
15,KPIG,1320 ,19200 ,900 ,1000 ,0 ,11100 ,13817 
15,KRAH,2520 ,57100 ,1600 ,300 ,0 ,0 ,13817 
15,KRAS,478 ,2993600 ,17400 ,394200 ,166100 ,228500 ,13817 
15,KREN,685 ,132401700 ,1898700 ,224000 ,6661400 ,23305900 ,13817 
15,LAPD,50 ,100 ,23079900 ,0 ,0 ,0 ,13817 
15,LCGP,67 ,18748100 ,629700 ,49200 ,0 ,0 ,13817 
15,LCKM,358 ,1104500 ,6700 ,51000 ,192200 ,254900 ,13817 
15,LEAD,186 ,248369700 ,1511800 ,1002800 ,3730700 ,3922600 ,13817 
15,LINK,5175 ,260500 ,10900 ,200 ,250600 ,243600 ,13817 
15,LION,650 ,21000 ,600 ,7300 ,5200 ,4000 ,13817 
15,LMAS,62 ,614600 ,3008300 ,6650500 ,0 ,0 ,13817 
15,LMPI,179 ,109500 ,47900 ,944700 ,0 ,0 ,13817 
15,LMSH,750 ,0 ,500 ,100 ,0 ,0 ,13817 
15,LPCK,3310 ,1026900 ,1000 ,5100 ,216400 ,1200 ,13817 
15,LPGI,4000 ,0 ,100 ,1000 ,0 ,0 ,13817 
15,LPIN,785 ,3100 ,400 ,1900 ,0 ,0 ,13817 
15,LPKR,492 ,9755000 ,10600 ,3881400 ,3784200 ,1309200 ,13817 
15,LPLI,194 ,73300 ,77900 ,30000 ,0 ,20000 ,13817 
15,LPPF,11500 ,3352400 ,1200 ,283000 ,2120900 ,2546200 ,13817 
15,LPPS,101 ,921600 ,2800 ,1665400 ,0 ,0 ,13817 
15,LRNA,101 ,14000 ,10900 ,100 ,0 ,0 ,13817 
15,LSIP,1310 ,17038400 ,175900 ,817000 ,3132000 ,297200 ,13817 
15,LTLS,640 ,317500 ,100000 ,8000 ,50000 ,300000 ,13817 
15,MABA,790 ,2118200 ,4300 ,500 ,0 ,0 ,13817 
15,MAGP,50 ,0 ,116092800 ,0 ,0 ,0 ,13817 
15,MAIN,700 ,777400 ,68800 ,56100 ,95700 ,0 ,13817 
15,MAMI,90 ,55637300 ,902100 ,176600 ,0 ,55200 ,13817 
15,MAMIP,600 ,0 ,0 ,0 ,0 ,0 ,13817 
15,MAPB,1840 ,0 ,2100 ,300 ,0 ,0 ,13817 
15,MAPI,7450 ,946400 ,161900 ,4100 ,872100 ,35900 ,13817 
15,MARI,1400 ,4100 ,400 ,0 ,0 ,0 ,13817 
15,MARK,1815 ,3593500 ,30400 ,122200 ,0 ,182300 ,13817 
15,MASA,300 ,1923300 ,35000 ,289900 ,0 ,0 ,13817 
15,MAYA,4050 ,100 ,1900 ,500 ,0 ,0 ,13817 
15,MBAP,3210 ,139100 ,100 ,1800 ,0 ,0 ,13817 
15,MBSS,625 ,3065400 ,161600 ,108600 ,6100 ,336100 ,13817 
15,MBTO,144 ,200300 ,7300 ,10000 ,0 ,88100 ,13817 
15,MCAS,2660 ,5463200 ,44600 ,41900 ,0 ,305200 ,13817 
15,MCOR,210 ,6165100 ,642600 ,694800 ,340900 ,2014300 ,13817 
15,MDIA,296 ,3582800 ,91700 ,57700 ,0 ,20000 ,13817 
15,MDKA,2400 ,372900 ,3900 ,11500 ,172100 ,0 ,13817 
15,MDKI,348 ,1414400 ,91000 ,29100 ,33300 ,0 ,13817 
15,MDLN,358 ,5082600 ,627900 ,516400 ,49300 ,3303600 ,13817 
15,MDRN,50 ,0 ,57957500 ,0 ,0 ,0 ,13817 
15,MEDC,1285 ,57291600 ,285100 ,729900 ,9543600 ,4559200 ,13817 
15,MEGA,3500 ,300 ,800 ,500 ,0 ,0 ,13817 
15,MERK,7300 ,14100 ,1000 ,1500 ,14100 ,0 ,13817 
15,META,206 ,3787400 ,296000 ,16500 ,0 ,0 ,13817 
15,MFIN,1705 ,20100 ,150000 ,2000 ,0 ,0 ,13817 
