Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
9/3/2018,BMAS,330 ,3600 ,15000 ,500 ,0 ,0 ,13863 
9/3/2018,BMRI,8100 ,23195500 ,3177400 ,584100 ,11760700 ,13335800 ,13863 
9/3/2018,BMSR,166 ,63000 ,24900 ,300 ,0 ,0 ,13863 
9/3/2018,BMTR,620 ,44719400 ,1446800 ,3200 ,38204000 ,40426400 ,13863 
9/3/2018,BNBA,264 ,360000 ,800 ,303100 ,0 ,0 ,13863 
9/3/2018,BNBR,50 ,750200 ,2975535700 ,0 ,0 ,0 ,13863 
9/3/2018,BNGA,1320 ,4419800 ,96800 ,53000 ,283000 ,939100 ,13863 
9/3/2018,BNII,284 ,407800 ,55300 ,161200 ,129500 ,300000 ,13863 
9/3/2018,BNLI,635 ,6797400 ,56000 ,142900 ,5541100 ,1346700 ,13863 
9/3/2018,BOGA,590 ,1971800 ,104000 ,15000 ,0 ,0 ,13863 
9/3/2018,BOLT,905 ,443400 ,6000 ,1800 ,0 ,0 ,13863 
9/3/2018,BORN,50 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,BOSS,2120 ,6201700 ,106800 ,45800 ,3000 ,70000 ,13863 
9/3/2018,BPFI,980 ,1300 ,200 ,18200 ,0 ,0 ,13863 
9/3/2018,BPII,5950 ,0 ,100 ,3600 ,0 ,0 ,13863 
9/3/2018,BRAM,7625 ,0 ,5000 ,5000 ,0 ,0 ,13863 
9/3/2018,BRMS,83 ,113607300 ,710800 ,1337000 ,1428800 ,3900300 ,13863 
9/3/2018,BRNA,1275 ,7000 ,1000 ,1500 ,0 ,0 ,13863 
9/3/2018,BRPT,2530 ,29190300 ,337200 ,3888900 ,1715200 ,7428800 ,13863 
9/3/2018,BSDE,1800 ,10874500 ,361200 ,2200 ,6155600 ,7220200 ,13863 
9/3/2018,BSIM,695 ,900 ,2000 ,500 ,0 ,200 ,13863 
9/3/2018,BSSR,2760 ,1700 ,4000 ,3500 ,0 ,0 ,13863 
9/3/2018,BSWD,1750 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,BTEK,124 ,643800 ,1700 ,178100 ,0 ,0 ,13863 
9/3/2018,BTEL,50 ,0 ,392596100 ,0 ,0 ,0 ,13863 
